"DateTime","Val"
2017-06-09 00:00:00,652
2017-06-09 01:00:00,635
2017-06-09 02:00:00,638
2017-06-09 03:00:00,627
2017-06-09 04:00:00,641
2017-06-09 05:00:00,600
2017-06-09 06:00:00,634
2017-06-09 07:00:00,718
2017-06-09 08:00:00,823
2017-06-09 09:00:00,852
2017-06-09 10:00:00,896
2017-06-09 11:00:00,924
2017-06-09 12:00:00,824
2017-06-09 13:00:00,843
2017-06-09 14:00:00,874
2017-06-09 15:00:00,869
2017-06-09 16:00:00,886
2017-06-09 17:00:00,629
2017-06-09 18:00:00,561
2017-06-09 19:00:00,569
2017-06-09 20:00:00,664
2017-06-09 21:00:00,681
2017-06-09 22:00:00,665
2017-06-09 23:00:00,714
2017-06-10 00:00:00,685
2017-06-10 01:00:00,681
2017-06-10 02:00:00,672
2017-06-10 03:00:00,658
2017-06-10 04:00:00,652
2017-06-10 05:00:00,462
2017-06-10 06:00:00,463
2017-06-10 07:00:00,478
2017-06-10 08:00:00,674
2017-06-10 09:00:00,677
2017-06-10 10:00:00,681
2017-06-10 11:00:00,752
2017-06-10 12:00:00,746
2017-06-10 13:00:00,762
2017-06-10 14:00:00,764
2017-06-10 15:00:00,669
2017-06-10 16:00:00,696
2017-06-10 17:00:00,688
2017-06-10 18:00:00,694
2017-06-10 19:00:00,670
2017-06-10 20:00:00,656
2017-06-10 21:00:00,640
2017-06-10 22:00:00,655
2017-06-10 23:00:00,643
2017-06-11 00:00:00,613
2017-06-11 01:00:00,621
2017-06-11 02:00:00,624
2017-06-11 03:00:00,595
2017-06-11 04:00:00,608
2017-06-11 05:00:00,602
2017-06-11 06:00:00,539
2017-06-11 07:00:00,328
2017-06-11 08:00:00,224
2017-06-11 09:00:00,161
2017-06-11 10:00:00,159
2017-06-11 11:00:00,161
2017-06-11 12:00:00,171
2017-06-11 13:00:00,172
2017-06-11 14:00:00,168
2017-06-11 15:00:00,161
2017-06-11 16:00:00,171
2017-06-11 17:00:00,161
2017-06-11 18:00:00,162
2017-06-11 19:00:00,158
2017-06-11 20:00:00,169
2017-06-11 21:00:00,156
2017-06-11 22:00:00,152
2017-06-11 23:00:00,147
2017-06-12 00:00:00,157
2017-06-12 01:00:00,152
2017-06-12 02:00:00,149
2017-06-12 03:00:00,146
2017-06-12 04:00:00,154
2017-06-12 05:00:00,169
2017-06-12 06:00:00,240
2017-06-12 07:00:00,532
2017-06-12 08:00:00,895
2017-06-12 09:00:00,851
2017-06-12 10:00:00,881
2017-06-12 11:00:00,918
2017-06-12 12:00:00,907
2017-06-12 13:00:00,879
2017-06-12 14:00:00,862
2017-06-12 15:00:00,873
2017-06-12 16:00:00,930
2017-06-12 17:00:00,818
2017-06-12 18:00:00,795
2017-06-12 19:00:00,778
2017-06-12 20:00:00,688
2017-06-12 21:00:00,701
2017-06-12 22:00:00,671
2017-06-12 23:00:00,722
2017-06-13 00:00:00,686
2017-06-13 01:00:00,687
2017-06-13 02:00:00,663
2017-06-13 03:00:00,645
2017-06-13 04:00:00,640
2017-06-13 05:00:00,629
2017-06-13 06:00:00,638
2017-06-13 07:00:00,728
2017-06-13 08:00:00,781
2017-06-13 09:00:00,848
2017-06-13 10:00:00,893
2017-06-13 11:00:00,918
2017-06-13 12:00:00,902
2017-06-13 13:00:00,929
2017-06-13 14:00:00,932
2017-06-13 15:00:00,813
2017-06-13 16:00:00,834
2017-06-13 17:00:00,785
2017-06-13 18:00:00,762
2017-06-13 19:00:00,826
2017-06-13 20:00:00,743
2017-06-13 21:00:00,758
2017-06-13 22:00:00,763
2017-06-13 23:00:00,751
2017-06-14 00:00:00,701
2017-06-14 01:00:00,682
2017-06-14 02:00:00,678
2017-06-14 03:00:00,671
2017-06-14 04:00:00,691
2017-06-14 05:00:00,657
2017-06-14 06:00:00,701
2017-06-14 07:00:00,808
2017-06-14 08:00:00,882
2017-06-14 09:00:00,887
2017-06-14 10:00:00,885
2017-06-14 11:00:00,920
2017-06-14 12:00:00,1054
2017-06-14 13:00:00,735
2017-06-14 14:00:00,887
2017-06-14 15:00:00,848
2017-06-14 16:00:00,1090.5
2017-06-14 17:00:00,1090.5
2017-06-14 18:00:00,367
2017-06-14 19:00:00,856
2017-06-14 20:00:00,762
2017-06-14 21:00:00,719
2017-06-14 22:00:00,737
2017-06-14 23:00:00,743
2017-06-15 00:00:00,687
2017-06-15 01:00:00,682
2017-06-15 02:00:00,743
2017-06-15 03:00:00,733
2017-06-15 04:00:00,699
2017-06-15 05:00:00,650
2017-06-15 06:00:00,675
2017-06-15 07:00:00,760
2017-06-15 08:00:00,831
